time,seconds_elapsed,z,y,x,Activity,Shake
1743284676200513300,8.68951318359375,-0.90979665517807,-8.245630264282227,-7.680599212646484,In Pocket,False
1743284676210553300,8.69955322265625,-0.6129156351089478,-8.303091049194336,-6.636727333068848,In Pocket,False
1743284676220593700,8.70959375,-0.2202665507793426,-8.437167167663574,-5.497087001800537,In Pocket,False
1743284676230633700,8.7196337890625,0.1723825186491012,-8.370129585266113,-4.501099109649658,In Pocket,False
1743284676240674000,8.729674072265626,0.1244984865188598,-8.35097599029541,-3.869029998779297,In Pocket,False
1743284676250714000,8.739714111328125,0.1053448766469955,-8.33182144165039,-3.457227230072021,In Pocket,False
1743284676260754400,8.74975439453125,0.0574608407914638,-8.245630264282227,-3.3423056602478027,In Pocket,False
1743284676270825000,8.759824951171876,-0.0766144543886184,-8.197746276855469,-3.25611424446106,In Pocket,False
1743284676280865300,8.769865234375,-0.4501099288463592,-8.20732307434082,-3.562572240829468,In Pocket,False
1743284676290905300,8.7799052734375,-0.8140285611152649,-8.159439086914062,-4.185064792633057,In Pocket,False
1743284676300945400,8.7899453125,-1.2545616626739502,-8.169015884399414,-4.836287498474121,In Pocket,False
1743284676310985700,8.79998583984375,-1.4269442558288574,-8.169015884399414,-5.324704647064209,In Pocket,False
1743284676321025800,8.81002587890625,-1.4460978507995603,-8.274360656738281,-5.928043365478516,In Pocket,False
1743284676331066000,8.820066162109375,-1.4077905416488647,-8.35097599029541,-6.042964935302734,In Pocket,False
1743284676341106200,8.830106201171875,-1.359906554222107,-8.47547435760498,-6.2632317543029785,In Pocket,False
1743284676351146500,8.840146484375,-1.0630255937576294,-8.513781547546387,-6.311115741729736,In Pocket,False
1743284676361186600,8.8501865234375,-1.2258312702178955,-8.523358345031738,-6.224924564361572,In Pocket,False
1743284676371227000,8.860226806640625,-1.139639973640442,-8.360552787780762,-6.138733386993408,In Pocket,False
1743284676381267000,8.870266845703124,-1.1492167711257937,-8.341399192810059,-6.119579315185547,In Pocket,False
1743284676391337700,8.880337646484374,-1.0534487962722778,-8.197746276855469,-6.33026933670044,In Pocket,False
1743284676401377800,8.890377685546875,-0.9193734526634216,-8.101978302001953,-6.435614109039307,In Pocket,False
1743284676411418000,8.900418212890624,-0.8044517636299133,-8.006210327148438,-6.493074893951416,In Pocket,False
1743284676421458200,8.910458251953125,-0.6512228846549988,-7.90086555480957,-6.722918510437012,In Pocket,False
1743284676431498200,8.920498291015624,-0.4501099288463592,-7.939172744750977,-6.751648902893066,In Pocket,False
1743284676441538600,8.93053857421875,-0.2968810200691223,-7.920019149780273,-6.722918510437012,In Pocket,False
1743284676451578600,8.94057861328125,-0.2873041927814483,-7.891288757324219,-6.71334171295166,In Pocket,False
1743284676461619000,8.950618896484375,-0.2394201755523681,-7.872135162353516,-6.598419666290283,In Pocket,False
1743284676471659000,8.960658935546874,-0.4022258818149566,-7.833827972412109,-6.531382083892822,In Pocket,False
1743284676481699300,8.97069921875,-0.5171475410461426,-7.709329605102539,-6.598419666290283,In Pocket,False
1743284676491739400,8.980739501953124,-0.7182605266571045,-7.671022415161133,-6.531382083892822,In Pocket,False
1743284676501810200,8.99081005859375,-0.689530074596405,-7.738059997558594,-6.675034523010254,In Pocket,False
1743284676511850200,9.000850341796875,-0.6799532771110535,-7.805097579956055,-6.6846113204956055,In Pocket,False
1743284676521890600,9.010890625,-0.6129156351089478,-7.891288757324219,-6.588842868804932,In Pocket,False
1743284676531930600,9.0209306640625,-0.4405331015586853,-7.910442352294922,-6.588842868804932,In Pocket,False
1743284676541971000,9.030970947265626,-0.3926490843296051,-8.063671112060547,-6.598419666290283,In Pocket,False
1743284676552011000,9.041010986328123,-0.2681505978107452,-8.092401504516602,-6.57926607131958,In Pocket,False
1743284676562051000,9.051051025390626,-0.1053448766469955,-8.14028549194336,-6.588842868804932,In Pocket,False
1743284676572091400,9.06109130859375,-0.3256114423274994,-8.092401504516602,-6.6846113204956055,In Pocket,False
1743284676582131500,9.07113134765625,-0.8236053586006165,-8.245630264282227,-6.636727333068848,In Pocket,False
